Sample	Gender	Pop	Sub.pop	hg19	hg38
NA19786	male	AMR	MXL	Y	Y
NA18633	male	EAS	CHB	Y	Y
NA19137	female	AFR	YRI	Y	Y
NA18638	male	EAS	CHB	Y	Y
NA19093	female	AFR	YRI	Y	Y
NA19818	male	AFR	ASW	Y	Y
NA18640	female	EAS	CHB	Y	Y
NA19098	male	AFR	YRI	Y	Y
NA19750	male	AMR	MXL	Y	Y
NA18878	female	AFR	YRI	Y	Y
NA19755	female	AMR	MXL	Y	Y
NA18912	female	AFR	YRI	Y	Y
NA19149	female	AFR	YRI	Y	Y
NA18582	female	EAS	CHB	Y	Y
NA18599	female	EAS	CHB	Y	Y
NA18525	female	EAS	CHB	Y	Y
NA18532	female	EAS	CHB	Y	Y
NA19036	female	AFR	LWK	Y	Y
NA20529	female	EUR	TSI	Y	Y
NA19043	male	AFR	LWK	Y	Y
NA20531	female	EUR	TSI	Y	Y
NA19055	male	EAS	JPT	Y	Y
NA20536	male	EUR	TSI	Y	Y
NA18861	female	AFR	YRI	Y	Y
NA19012	male	EAS	JPT	Y	Y
NA20543	male	EUR	TSI	Y	Y
NA18544	male	EAS	CHB	Y	Y
NA20586	male	EUR	TSI	Y	Y
NA18563	male	EAS	CHB	Y	Y
NA19079	male	EAS	JPT	Y	Y
NA18645	male	EAS	CHB	Y	Y
NA19086	male	EAS	JPT	Y	Y
NA19004	male	EAS	JPT	Y	Y
NA19062	male	EAS	JPT	Y	Y
NA20810	male	EUR	TSI	Y	Y
NA19023	female	AFR	LWK	Y	Y
NA20815	male	EUR	TSI	Y	Y
NA19649	male	AMR	MXL	Y	Y
NA20764	female	EUR	TSI	Y	Y
NA19651	female	AMR	MXL	Y	Y
NA20769	female	EUR	TSI	Y	Y
